,가수,노래
1위,방탄소년단,Butter
2위,aespa,Next Level
3위,오마이걸(OH MY GIRL),Dun Dun Dance
4위,헤이즈(Heize),헤픈 우연
5위,STAYC(스테이씨),ASAP
6위,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기
7위,아이유(IU),라일락
8위,Justin Bieber(저스틴 비버),"Peaches (feat. Daniel Caesar, Giveon)"
9위,ITZY (있지),마.피.아. In the morning
10위,브레이브걸스(Brave Girls),롤린 (Rollin')
11위,성시경,I Love U
12위,"정상동기 (김정수, 정기석, 이동휘, 이상이)",체념
13위,라붐(LABOUM),상상더하기
14위,아이유(IU),Celebrity
15위,브레이브걸스(Brave Girls),운전만해 (We Ride)
16위,조이 (JOY),Je T′aime
17위,Justin Bieber(저스틴 비버),Off My Face
18위,SG워너비,Timeless
19위,"M.O.M (별루지, 강창모, 박재정, 원슈타인)",만약에
20위,방탄소년단,Dynamite
21위,헤이즈(Heize),처음처럼 (Feat. 개리)
22위,10CM,서울의 잠 못 이루는 밤 (Feat. 이수현)
23위,정승환,"친구, 그 오랜시간"
24위,아이유(IU),어푸 (Ah puh)
25위,아이유(IU),Coin
26위,aespa,Black Mamba
27위,Doja Cat(도자 캣),Kiss Me More (feat. SZA)
28위,성시경,너를 사랑했던 시간
29위,NS Yoon-G,If You Love Me (Feat. 주헌 (몬스타엑스))
30위,NCT DREAM,맛 (Hot Sauce)
31위,헤이즈(Heize),감기 (Feat. 창모)
32위,다비치,그냥 안아달란 말야
33위,Jawsh 685,Savage Love (Laxed - Siren Beat) (BTS Remix)
34위,SG워너비,라라라
35위,로제(ROSÉ),On The Ground
36위,SG워너비,내사람: Partner For Life
37위,아이유(IU),에잇(Prod.&Feat. SUGA of BTS)
38위,John K,parachute
39위,성시경,우리 한 때 사랑한 건
40위,Bruno Mars(브루노 마스),Leave The Door Open
41위,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
42위,아이유(IU),내 손을 잡아
43위,ASH ISLAND,멜로디
44위,오마이걸(OH MY GIRL),Dolphin
45위,Pink Sweat$,At My Worst
46위,Maroon 5(마룬 파이브),Beautiful Mistakes
47위,BLACKPINK,Lovesick Girls
48위,AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
49위,성시경,널 잊는 기적은 없었다
50위,NCT DREAM,고래 (Dive Into You)
51위,아이유(IU),아이와 나의 바다
52위,경서,밤하늘의 별을(2020)
53위,양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
54위,Valley,Like 1999
55위,아이유(IU),Blueming
56위,헤이즈(Heize),미안해 널 사랑해 (Feat. 김필)
57위,Etham,12:45 (Stripped)
58위,정승환,러브레터
59위,헤이즈(Heize),비도 오고 그래서 (Feat. 신용재)
60위,SG워너비,살다가
61위,성시경,이음새
62위,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
63위,장범준,잠이 오질 않네요
64위,숀(SHAUN),닫힌엔딩 (Closed Ending)
65위,방탄소년단,Life Goes On
66위,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
67위,성시경,방랑자
68위,태민 (TAEMIN),Advice
69위,오마이걸(OH MY GIRL),살짝 설렜어 (Nonstop)
70위,하이라이트(Highlight),불어온다
71위,임영웅,별빛 같은 나의 사랑아
72위,정승환,그런 사람
73위,케이시,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
74위,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
75위,산들,취기를 빌려 (취향저격 그녀 X 산들)
76위,이석훈,그대를 사랑하는 10가지 이유(2021)
77위,10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
78위,폴킴(Paul Kim),파도
79위,적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
80위,아이유(IU),Flu
81위,프로미스나인,WE GO
82위,송이한,밝게 빛나는 별이 되어 비춰줄게
83위,아이유(IU),밤편지
84위,아이유(IU),봄 안녕 봄
85위,AJR,Bang!
86위,헤이즈(Heize),Why
87위,Anne-Marie(앤 마리),2002
88위,창모(CHANGMO),METEOR
89위,임영웅,이제 나만 믿어요
90위,아이유(IU),돌림노래 (Feat. DEAN)
91위,헤이즈(Heize),빗물에게 들으니 (Feat. 안예은)
92위,SG워너비,죄와 벌
93위,성시경,너의 모든 순간
94위,정승환,봄을 지나며
95위,성시경,마음을 담아
96위,pH-1,365&7 (Feat. JAMIE)
97위,정승환,그대가 있다면
98위,양다일,별이 뜬 곳에 (바니와 오빠들 X 양다일)
99위,황치열,안녕이란 (Two Letters)
100위,이무진,신호등
